sequence,exercise,sequence_status,camera_id,vggt_rotation_pairwise_p95_deg,vggt_center_dispersion_p95,refined_rotation_change_from_robust_init_deg,refined_center_change_from_robust_init,refined_center_change_scene_fraction,fx_change_fraction,fy_change_fraction,principal_point_change_px
pushup_0001,pushup,REVIEW,cam2,1.2862592691177257,0.012211519187702708,0.5290351744527496,0.002862343619094431,0.0031909580521823234,0.0,0.0,0.0
pushup_0001,pushup,REVIEW,cam3,3.024123569871588,0.013095088841595682,0.8468742885317428,0.0003104094630533394,0.00034604635481082235,0.0,0.0,0.0
pushup_0002,pushup,REVIEW,cam1,0.23335022838415406,0.0024309219655494875,0.0,0.0,0.0,0.0,0.0,0.0
pushup_0002,pushup,REVIEW,cam2,1.2629135464398251,0.012875776290447182,1.7289392060890454,0.004709038699053163,0.0019794942637818007,0.0,0.0,0.0
pushup_0002,pushup,REVIEW,cam3,2.3479973522577553,0.03966168963256196,3.207233273598562,0.00797490639046177,0.003352336318087599,0.0,0.0,0.0
pushup_0003,pushup,FAIL,cam1,0.14295995965042946,0.003143625103215866,0.0,0.0,0.0,0.0,0.0,0.0
pushup_0003,pushup,FAIL,cam2,1.421551171766158,0.01295217412308279,2.50108409434217,0.011502794724535382,0.003627385443318176,0.0,0.0,0.0
pushup_0003,pushup,FAIL,cam3,3.372713671091773,0.0695398639276213,1.8569540537154836,0.010720576899810787,0.003380714471710047,0.0,0.0,0.0
pushup_0004,pushup,REVIEW,cam1,0.21669457043268425,0.0015928031261624586,0.0,0.0,0.0,0.0,0.0,0.0
pushup_0004,pushup,REVIEW,cam2,0.4596057055271254,0.004225680337529177,1.355099599705409,0.00323942424085024,0.0011046004696239665,0.0,0.0,0.0
pushup_0004,pushup,REVIEW,cam3,3.2965576513091235,0.03552890271970235,0.41248328723646177,0.0029717356808512947,0.0010133222401907665,0.0,0.0,0.0
squat_0000,squat,REVIEW,cam1,0.21763162432495237,0.001063559080558838,0.0,0.0,0.0,0.0,0.0,0.0
squat_0000,squat,REVIEW,cam2,3.377477527981547,0.02986467195814792,0.49024931573768954,0.0033131856086828747,0.001160328855367271,0.0,0.0,0.0
squat_0000,squat,REVIEW,cam3,1.0765148569697747,0.010025444076830755,0.9937410705541936,0.006475342826769578,0.002267765231928296,0.0,0.0,0.0
squat_0001,squat,REVIEW,cam1,0.3707675486013468,0.002907933307677125,0.0,0.0,0.0,0.0,0.0,0.0
squat_0001,squat,REVIEW,cam2,18.498496796828103,0.10253739071719328,1.5229555311809473,0.0010352993065323207,0.0003461922361439652,0.0,0.0,0.0
squat_0001,squat,REVIEW,cam3,1.0579701806837332,0.011539226526714947,0.38587604038434514,0.008918818063331833,0.0029823506590068837,0.0,0.0,0.0
squat_0002,squat,REVIEW,cam1,0.1834741483711105,0.001893640928035723,0.0,0.0,0.0,0.0,0.0,0.0
squat_0002,squat,REVIEW,cam2,7.896682474604452,0.05514393865596526,1.1899592543981101,0.015619050597390834,0.005291063655632728,0.0,0.0,0.0
squat_0002,squat,REVIEW,cam3,0.47079439525532574,0.00855765271669696,3.1929434880577343,0.015167367762917328,0.005138052906710821,0.0,0.0,0.0
squat_0003,squat,REVIEW,cam1,0.46962815898998955,0.002983333511869,0.0,0.0,0.0,0.0,0.0,0.0
squat_0003,squat,REVIEW,cam2,2.407078287413996,0.021160723722220734,0.46228409671367865,0.004178162239751687,0.001430989214141271,0.0,0.0,0.0
squat_0003,squat,REVIEW,cam3,0.9039230564026491,0.00804844588190688,0.18067683922630842,0.002829674522604053,0.0009691422900843124,0.0,0.0,0.0
